transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg 	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.22	100	20	0	100	0	0	20	NA	NA	0	0	52	0	6	0	0	0	5	0	0	0	0	0	0	0
b10	laura.bellec	21septembre2017	99	b	10	65	2.2	0.24	100	40	40	100	0	0	0	NA	NA	0	0	14	0	7	0	0	0	6	0	0	0	0	13	0	0
b10	laura.bellec	21septembre2017	99	b 	10	65	2	0.2	100	0	5	75	0	0	60	NA	NA	0	0	9	0	2	0	0	1	0	0	0	0	0	5	0	0
b10	laura.bellec	21septembre2017	99	b 	10	65	2.3	0.2	100	20	5	100	0	0	0	NA	NA	0	0	23	0	10	0	0	0	6	0	0	0	0	21	0	1
b10	laura.bellec	21septembre2017	99	b	10	60	1.9	0.2	100	0	40	100	0	0	0	NA	NA	0	4	21	0	0	0	0	0	1	0	0	0	0	13	0	0
b10	laura.bellec	21septembre2017	99	b 	10	60	1.9	0.2	100	5	10	100	0	0	0	NA	NA	0	0	9	0	0	0	0	0	9	0	0	0	0	17	0	0
b10	laura.bellec	21septembre2017	99	b 	10	60	1.95	0.2	100	0	5	2	0	0	90	2.2	NA	0	1	24	0	3	0	0	0	0	0	0	0	0	0	0	1
b10	laura.bellec	21septembre2017	99	b	10	55	1.8	0.2	100	0	40	95	0	0	0	NA	NA	0	2	20	0	1	0	0	0	0	0	0	0	0	18	0	0
b10	laura.bellec	21septembre2017	99	b 	10	55	1.75	0.29	100	0	70	80	0	0	0	NA	NA	0	0	63	0	0	0	0	0	1	0	0	0	0	12	0	2
b10	laura.bellec	21septembre2017	99	b 	10	55	1.9	0.2	100	5	60	100	0	0	0	NA	NA	0	1	26	0	10	0	0	0	0	0	0	0	0	28	0	0
b10	laura.bellec	21septembre2017	99	b	10	50	1.3	0.24	100	0	60	95	0	15	0	NA	NA	0	0	20	0	2	0	0	0	0	0	0	0	0	8	0	3
b10	laura.bellec	21septembre2017	99	b 	10	50	1.7	0.2	100	0	85	85	50	40	50	NA	NA	0	0	28	0	3	0	0	0	0	0	0	0	0	4	0	0
b10	laura.bellec	21septembre2017	99	b 	10	50	0.7	0.2	100	2	5	100	0	0	0	NA	NA	0	0	8	0	50	0	0	0	0	0	0	0	0	18	0	0
b10	laura.bellec	21septembre2017	99	b	10	45	1.1	0.24	100	0	75	65	10	40	30	NA	NA	0	0	36	0	7	0	0	0	0	0	0	0	0	5	0	3
b10	laura.bellec	21septembre2017	99	b 	10	45	1.3	0.24	100	0	80	95	0	20	0	NA	NA	0	0	0	0	1	0	0	0	62	0	0	0	0	12	0	2
b10	laura.bellec	21septembre2017	99	b 	10	45	1.35	0.29	100	0	70	70	20	50	0	NA	NA	0	0	29	0	4	0	0	0	0	0	0	0	0	8	0	3
b10	laura.bellec	21septembre2017	99	b	10	40	1.25	0.2	100	5	60	70	0	35	5	NA	NA	0	0	20	0	8	0	0	0	1	0	0	0	0	15	0	8
b10	laura.bellec	21septembre2017	99	b 	10	40	0.9	0.22	100	0	90	30	5	80	5	NA	NA	0	0	13	0	8	0	0	0	0	0	0	0	0	9	0	2
b10	laura.bellec	21septembre2017	99	b 	10	40	0.75	0.2	100	0	10	20	3	0	85	0.5	NA	0	4	99	0	12	0	0	0	0	0	0	0	0	0	0	10
b10	laura.bellec	21septembre2017	99	b	10	35	0.2	0.2	100	0	0	80	30	0	0	NA	NA	0	0	39	0	7	0	0	0	0	0	0	0	0	8	0	8
b10	laura.bellec	21septembre2017	99	b 	10	35	0.2	0.24	100	0	15	20	30	0	0	NA	NA	0	1	14	0	0	2	0	0	0	0	0	0	2	12	0	0
b10	laura.bellec	21septembre2017	99	b 	10	35	0.6	0.29	100	0	60	70	15	60	0	NA	NA	0	0	41	0	1	0	0	0	0	0	0	0	0	7	0	1
b10	laura.bellec	21septembre2017	99	b	10	30	0.2	0.2	100	0	0	0	30	0	100	NA	NA	0	2	38	0	2	0	0	0	0	0	0	0	0	0	0	2
b10	laura.bellec	21septembre2017	99	b 	10	30	0.1	0.2	100	0	0	0	50	0	100	NA	NA	0	2	43	0	0	0	0	0	1	0	0	0	1	0	0	2
b10	laura.bellec	21septembre2017	99	b 	10	30	0.3	0.29	100	0	0	15	100	50	0	NA	NA	0	0	7	0	0	0	0	0	0	0	0	1	0	0	0	1
b10	laura.bellec	21septembre2017	99	b	10	25	0.55	0.39	100	0	0	50	50	40	0	NA	NA	0	1	4	0	0	1	0	0	0	0	0	1	0	0	0	3
b10	laura.bellec	21septembre2017	99	b 	10	25	0.4	0.29	100	0	0	10	98	0	0	NA	NA	0	2	9	0	0	0	0	0	0	0	0	2	0	4	0	0
b10	laura.bellec	21septembre2017	99	b 	10	25	0.6	0.24	100	0	0	40	100	5	0	NA	NA	0	2	13	0	0	0	0	0	0	0	0	0	1	2	0	0
b10	laura.bellec	21septembre2017	99	b	10	20	0.2	0.2	100	0	0	5	10	70	90	NA	NA	0	7	23	0	0	0	0	0	0	0	0	0	0	0	0	0
b10	laura.bellec	21septembre2017	99	b 	10	20	0.2	0.24	100	0	0	40	90	15	60	NA	NA	0	1	13	0	1	0	0	0	0	0	0	0	3	0	0	0
b10	laura.bellec	21septembre2017	99	b 	10	20	0.2	0.39	100	0	0	5	90	5	0	NA	NA	0	1	6	0	0	0	0	0	0	0	0	1	2	0	0	0
