transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
a0	raphael.leprince	20septembre2017	97	a	0	50	2.2	0.20	0	0	0	1	0	3	100	1.4	0.1	0	0	21	0	3	0	0	0	0	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	50	2.2	0.21	80	5	5	90	15	5	20	NA	NA	0	0	36	0	14	0	0	0	6	0	0	0	0	7	0	2
a0	raphael.leprince	20septembre2017	97	a	0	50	2.2	0.23	100	10	35	95	0	0	0	NA	NA	0	0	27	0	14	0	0	0	12	0	0	0	0	11	0	1
a0	raphael.leprince	20septembre2017	97	a	0	45	1.1	0.21	5	1	20	10	2	0	25	NA	NA	0	0	27	0	9	0	0	0	1	0	0	0	0	5	0	1
a0	raphael.leprince	20septembre2017	97	a	0	45	1.1	0.26	100	30	15	95	1	0	0	NA	NA	0	0	4	0	4	0	0	0	7	0	0	0	0	0	0	12
a0	raphael.leprince	20septembre2017	97	a	0	45	1.1	0.28	35	5	5	15	60	5	85	0.30	NA	0	0	26	0	7	0	0	0	0	0	0	0	0	0	0	2
a0	raphael.leprince	20septembre2017	97	a	0	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	0	NA	0	0	NA	NA	NA	0	NA
a0	raphael.leprince	20septembre2017	97	a	0	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	0	NA	0	0	NA	NA	NA	0	NA
a0	raphael.leprince	20septembre2017	97	a	0	40	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	NA	NA	0	0	NA	0	0	NA	NA	NA	0	NA
a0	raphael.leprince	20septembre2017	97	a	0	35	0.6	0.29	100	1	50	90	0	0	0	NA	NA	0	0	20	0	1	0	0	0	0	0	0	0	0	NA	0	9
a0	raphael.leprince	20septembre2017	97	a	0	35	0.6	0.27	100	1	40	50	0	0	0	NA	NA	0	0	18	0	13	0	1	0	14	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	35	0.6	0.24	15	0	5	0	15	0	100	NA	NA	0	0	15	0	5	0	0	0	1	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	30	0.5	0.22	100	10	15	100	5	0	0	NA	NA	0	NA	17	0	1	0	0	0	11	0	0	0	0	NA	0	3
a0	raphael.leprince	20septembre2017	97	a	0	30	0.5	0.22	100	0	45	40	5	0	0	NA	NA	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	30	0.5	0.29	50	0	5	0	40	0	80	NA	NA	0	NA	7	0	0	0	0	0	0	0	0	0	0	0	0	6
a0	raphael.leprince	20septembre2017	97	a	0	25	0.4	0.22	100	0	45	40	0	0	0	NA	NA	0	0	5	0	4	0	0	0	0	0	0	0	0	0	0	1
a0	raphael.leprince	20septembre2017	97	a	0	25	0.4	0.27	60	5	10	90	5	0	0	NA	NA	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	9
a0	raphael.leprince	20septembre2017	97	a	0	25	0.4	0.22	40	0	5	5	0	0	0	NA	NA	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	20	0.25	0.24	0	0	5	1	15	0	100	NA	NA	0	0	1	0	0	0	0	0	0	0	0	6	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	20	0.25	0.22	100	0	50	80	5	0	0	NA	NA	0	0	23	0	16	0	0	0	1	0	0	0	0	19	0	0
a0	raphael.leprince	20septembre2017	97	a	0	20	0.25	0.24	100	0	40	20	5	0	0	NA	NA	0	0	31	0	0	0	0	0	1	0	0	0	0	0	0	1
a0	raphael.leprince	20septembre2017	97	a	0	15	0.4	0.30	100	0	80	35	10	0	0	NA	NA	0	0	8	0	NA	0	0	0	0	0	0	0	1	0	0	2
a0	raphael.leprince	20septembre2017	97	a	0	15	0.4	0.24	90	0	0	0	80	0	100	0.59	0.3	0	1	5	0	0	0	0	0	0	0	0	0	0	3	0	0
a0	raphael.leprince	20septembre2017	97	a	0	15	0.4	0.22	100	0	45	1	70	0	0	NA	NA	0	0	24	0	0	0	0	0	0	0	0	0	0	7	0	0
a0	raphael.leprince	20septembre2017	97	a	0	10	0.45	0.33	90	0	1	70	30	0	0	NA	NA	0	0	21	0	0	0	0	0	0	0	0	0	3	0	0	10
a0	raphael.leprince	20septembre2017	97	a	0	10	0.45	0.27	100	0	15	20	20	0	0	NA	NA	0	0	30	0	1	0	0	0	0	0	0	0	0	5	0	0
a0	raphael.leprince	20septembre2017	97	a	0	10	0.45	0.24	15	0	0	0	90	2	85	NA	NA	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0
a0	raphael.leprince	20septembre2017	97	a	0	5	0.3	0.22	50	0	0	1	100	10	80	1.5	1.7	0	5	NA	0	0	0	0	0	0	0	0	0	2	3	0	1
a0	raphael.leprince	20septembre2017	97	a	0	5	0.3	0.24	85	0	0	5	95	20	15	NA	1	0	2	19	0	0	1	0	0	0	0	0	0	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	5	0.3	0.23	95	0	0	80	10	0	0	NA	NA	0	0	33	0	4	1	0	0	0	0	0	0	1	0	0	12
a0	raphael.leprince	20septembre2017	97	a	0	0	0	0.26	85	0	0	5	95	25	5	NA	0.6	0	5	17	0	0	0	0	0	0	0	0	2	0	0	0	0
a0	raphael.leprince	20septembre2017	97	a	0	0	0	0.27	100	0	1	50	50	0	0	NA	NA	0	0	3	0	0	0	0	0	0	0	0	0	0	4	0	11
a0	raphael.leprince	20septembre2017	97	a	0	0	0	0.23	50	0	0	0	90	5	0	NA	NA	0	2	6	0	0	0	0	0	0	0	0	0	0	0	0	0
