transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg 	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap	sp	haut	larg	peri	pred	coul	text	epizo	masse
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Monlin	15.9	12.8	5.5	non	sombre	lisse	non	1.49
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Monlin	14.2	11	4.9	non	sombre	lisse	non	1.06
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Monlin	14.9	13.1	6.2	non	sombre	lisse	oui	1.33
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Monlin	11.5	14	5.5	non	sombre	lisse	non	1.87
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Monlin	17.6	14.3	6.9	non	sombre	lisse	oui	2.24
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Litlit	11	9.2	4.2	non	sombre	lisse	non	0.7
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Litlit	8.1	5.4	3.2	non	sombre	lisse	non	0.26
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Litlit	10.6	7.6	4.2	non	sombre	lisse	non	0.5
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Litlit	13.2	9.6	4	non	sombre	lisse	oui	0.87
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Litlit	10.8	7.7	4.5	non	sombre	lisse	non	0.44
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Thalap	23.7	14.8	4.4	non	sombre	Lisse	oui	2.44
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Gibsp.	7.9	6.8	NA	non	sombre	lisse	non	0.12
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Gibsp.	12.7	11.2	3.8	non	sombre	lisse	oui	0.87
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Gibsp.	12.4	6.5	NA	non	sombre	lisse	non	0.14
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Gibsp.	12.6	11.3	3.4	non	sombre	lisse	non	0.88
b10	laura.bellec	21septembre2017	99	b	10	70	2.3	0.2	100	10	0	100	0	0	0	NA	NA	0	0	21	0	32	0	0	0	7	0	0	0	0	6	0	1	Gibsp.	10.8	10	3.3	non	sombre	lisse	non	0.54
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Monlin	12	17.7	7.3	non	sombre	lisse	oui	2.18
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Monlin	12	15.3	6.9	non	sombre	lisse	oui	2.26
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Monlin	11.5	16.2	7.1	non	sombre	lisse	oui	1.9
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Monlin	10.2	13.9	6.6	non	sombre	lisse	oui	1.74
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Monlin	11.1	13	6.3	non	sombre	lisse	oui	2
b10	laura.bellec	21septembre2017	99	b 	10	70	2.4	0.2	100	20	5	100	0	10	0	NA	NA	0	28	23	0	18	0	0	0	0	0	0	0	0	9	0	1	Thalap	21.9	12.4	4	non	clair	rugueux	oui	1.8
