transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	90	0	30	30	30	0	40	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	10	15	100	0	0	2	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	72	2.22	0.19625	100	0	3	100	80	0	1	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	10	2	2	20	0	0	2	NA	NA	0	3	2	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	100	2	15	70	0	0	0	NA	NA	0	0	5	0
a90	sasha.donnier	21-sept-17	99	a	90	67	2.12	0.19625	100	20	40	80	0	0	0	NA	NA	0	3	7	0
a90	sasha.donnier	21-sept-17	99	a	90	62	2.02	0.19625	100	10	20	95	0	0	0	NA	NA	0	30	0	0
a90	sasha.donnier	21-sept-17	99	a	90	62	2.02	0.29438	95	2	60	80	0	0	2	NA	NA	0	18	0	0
a90	sasha.donnier	21-sept-17	99	a	90	62	2.02	0.19625	95	2	60	90	1	100	0	NA	NA	0	0	10	0
a90	sasha.donnier	21-sept-17	99	a	90	57	1.72	0.19625	100	2	75	30	0	NA	0	NA	NA	0	33	0	0
a90	sasha.donnier	21-sept-17	99	a	90	57	1.72	0.19625	100	0	40	50	1	NA	0	NA	NA	0	50	0	0
a90	sasha.donnier	21-sept-17	99	a	90	57	1.72	0.19625	100	2	20	80	0	0	0	NA	NA	0	40	8	0
a90	sasha.donnier	21-sept-17	99	a	90	52	1.37	0.19625	100	0	90	70	5	100	0	NA	NA	0	0	13	0
a90	sasha.donnier	21-sept-17	99	a	90	52	1.37	0.19625	100	3	85	20	100	0	0	NA	NA	0	0	14	0
a90	sasha.donnier	21-sept-17	99	a	90	52	1.37	0.19625	100	0	95	10	1	0	0	NA	NA	0	0	22	0
a90	sasha.donnier	21-sept-17	99	a	90	47	1.07	0.29438	95	0	20	40	10	0	0	NA	NA	0	0	33	0
a90	sasha.donnier	21-sept-17	99	a	90	47	1.07	0.19625	100	0	30	50	5	0	0	NA	NA	0	0	16	0
a90	sasha.donnier	21-sept-17	99	a	90	47	1.07	0.19625	100	0	40	40	10	0	0	NA	NA	0	0	8	0
a90	sasha.donnier	21-sept-17	99	a	90	42	0.87	0.19625	100	1	35	50	20	0	0	NA	NA	0	0	20	0
a90	sasha.donnier	21-sept-17	99	a	90	42	0.87	0.19625	100	0	60	30	40	0	0	NA	NA	0	0	10	0
a90	sasha.donnier	21-sept-17	99	a	90	42	0.87	0.19625	100	0	50	5	90	0	0	NA	NA	0	0	11	0
a90	sasha.donnier	21-sept-17	99	a	90	37	0.7	0.19625	100	0	0	5	95	3	0	NA	NA	0	0	5	0
a90	sasha.donnier	21-sept-17	99	a	90	37	0.7	0.19625	100	0	0	100	10	2	0	NA	NA	0	0	5	0
a90	sasha.donnier	21-sept-17	99	a	90	37	0.7	0.29438	100	0	2	50	50	0	0	NA	NA	0	0	13	0
a90	sasha.donnier	21-sept-17	99	a	90	32	0.5	0.19625	90	0	0	5	30	0	0	NA	NA	0	0	22	0
a90	sasha.donnier	21-sept-17	99	a	90	32	0.5	0.24531	90	0	0	20	90	0	0	NA	NA	0	0	22	0
a90	sasha.donnier	21-sept-17	99	a	90	32	0.5	0.19625	30	1	0	5	70	2	10	NA	NA	0	0	12	0
a90	sasha.donnier	21-sept-17	99	a	90	27	0.4	0.19625	100	0	0	40	60	0	0	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	27	0.4	0.29438	100	0	0	40	100	0	0	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	27	0.4	0.19625	80	0	0	40	100	0	20	NA	NA	0	0	0	0
a90	sasha.donnier	21-sept-17	99	a	90	22	0.1	0.24531	90	0	0	60	100	0	10	NA	NA	0	3	0	0
a90	sasha.donnier	21-sept-17	99	a	90	22	0.1	0.19625	70	0	0	70	100	0	30	NA	NA	0	4	0	0
a90	sasha.donnier	21-sept-17	99	a	90	22	0.1	0.19625	80	0	0	40	100	0	20	NA	NA	0	4	0	0
																					
																					
Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap										
3	0	0	0	2	0	0	0	0	5	0	0										
3	0	0	0	5	0	0	0	0	4	0	1										
30	0	0	0	7	0	0	0	0	4	0	0										
5	1	0	0	0	0	0	0	0	10	0	0										
11	0	0	0	0	0	0	0	0	2	0	2										
1	0	0	0	10	0	0	0	0	10	0	2										
2	0	0	0	0	0	0	0	0	27	0	1										
0	0	0	0	0	0	0	0	1	10	0	0										
0	0	0	0	8	0	0	0	0	10	0	0										
1	0	0	0	0	0	0	0	0	0	0	5										
0	0	0	0	0	0	0	0	0	0	0	9										
3	0	0	0	0	0	0	0	0	0	0	9										
1	0	0	0	3	0	0	0	0	10	0	0										
1	0	0	0	0	0	0	0	0	6	0	0										
3	0	0	0	0	0	0	0	0	0	0	0										
5	0	0	0	0	0	0	0	0	10	0	5										
2	0	0	0	0	0	0	0	0	9	0	0										
3	0	0	0	0	0	0	0	0	12	0	0										
0	0	0	0	0	0	0	0	0	16	0	1										
0	0	0	0	0	0	0	0	0	8	0	2										
2	0	0	0	0	0	0	0	0	1	0	2										
1	0	0	0	0	0	0	0	0	0	0	3										
0	0	0	0	0	0	0	0	0	10	0	18										
1	0	0	0	0	0	0	0	0	5	0	14										
0	0	0	0	0	0	0	0	1	3	0	1										
0	0	0	0	0	0	0	0	2	22	0	0										
