transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.fla	d.fla	sp	haut	larg	peri	pred	coul	text	Epizo	masse							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	gibsp	7.9	10.9	4.2	Non	sombre	li	oui	0.75							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	gibsp	4.6	10.3	3.8	non	sombre	li	non	0.44							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	gibsp	8.6	11.8	4.4	non	sombre	li	oui	0.99							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	gibsp	7.1	11	3.5	non	sombre	li	non	0.53							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	gibsp	7.6	10.9	3.4	oui	sombre	li	non	0.5							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	litlit	9.7	9.3	4.5	non	clair	ru	non	0.42							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	litlit	13.2	10.7	5.6	non	sombre	ru	non	0.85							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	litlit	14.5	11.9	5.3	non	sombre	li	non	01.08							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	litlit	11.3	9.7	4.2	non	sombre	ru	non	0.58							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	litlit	9.5	7.3	3	non	sombre	ru	non	0.32							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	thais	22.10	13.9	4	non	clair	ru	oui	02.02							
b20	nathan.viel	20September2017	97	b	20	45	NA	0.21	100	1	25	50	0	30	1	NA	NA	thais	20.4	10.9	3.7	non	rayé	ru	non	1.51							
