transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.55	80	2	10	70	5	5	5	NA	NA	0	0	28	0	6	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.7	95	2	30	90	0	0	3	NA	NA	0	0	29	0	3	0	0	0	20	0	0	0	0	0	0	1
b50	eloise.couthouis	21septembre2017	99	b	50	65	2.3	0.75	15	5	10	10	0	5	70	NA	0.5	0	0	32	0	19	0	0	2	3	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	0	90	0	0	0	NA	NA	0	0	7	0	2	0	0	0	0	0	0	0	0	7	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	0.55	100	5	5	90	0	5	10	NA	NA	0	0	7	0	5	0	0	0	0	0	0	0	0	10	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	60	2.2	1	50	0	50	10	5	5	50	NA	NA	0	0	21	0	6	0	0	0	0	0	0	0	0	5	0	1
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.6	100	1	50	60	1	2	1	NA	NA	0	0	33	0	0	0	0	0	1	0	0	0	0	6	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	1	1	60	10	15	0	1	NA	NA	0	0	28	0	1	0	0	0	0	0	0	0	0	11	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	80	1	60	50	15	15	20	NA	NA	0	0	24	0	9	0	0	0	0	0	0	0	0	8	0	2
b50	eloise.couthouis	21septembre2017	99	b	50	55	2.1	0.55	60	1	30	60	10	0	100	NA	NA	0	3	32	0	6	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	50	2	0.5	100	0	20	90	0	0	0	NA	NA	0	0	23	0	0	0	0	0	0	0	0	0	0	14	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	50	2	0.5	60	0	5	30	10	0	0	NA	NA	0	0	10	0	3	0	0	1	0	0	0	0	0	23	0	5
b50	eloise.couthouis	21septembre2017	99	b	50	50	2	0.75	100	0	50	70	50	10	0	NA	NA	0	0	19	0	0	0	0	0	0	0	0	0	0	8	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	45	1.86	0.5	0	0	0	5	0	0	100	NA	0.5	0	0	9	0	1	0	0	0	0	0	0	0	0	0	0	1
b50	eloise.couthouis	21septembre2017	99	b	50	45	1.86	1	100	0	10	70	0	5	0	NA	NA	0	1	43	0	12	0	0	0	0	0	0	0	0	4	0	19
b50	eloise.couthouis	21septembre2017	99	b	50	45	1.86	0.7	50	0	0	30	0	0	50	NA	NA	0	4	23	0	4	0	0	0	0	0	0	0	0	2	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	40	1.73	0.5	15	0	2	15	15	0	10	NA	NA	0	0	11	0	1	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	40	1.73	0.7	100	0	40	80	20	0	1	NA	NA	0	0	16	0	2	0	0	0	0	0	0	0	0	8	0	1
b50	eloise.couthouis	21septembre2017	99	b	50	40	1.73	0.55	80	0	40	40	40	10	1	NA	NA	0	0	25	0	2	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	35	1.4	0.75	100	0	0	30	60	15	5	NA	NA	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	35	1.4	0.5	20	0	0	0	40	10	100	NA	1	0	1	20	0	1	0	0	0	0	0	0	1	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	35	1.4	0.75	100	0	15	5	90	5	0	NA	NA	0	0	13	0	7	0	0	0	0	0	0	0	0	0	0	0
b50	eloise.couthouis	21septembre2017	99	b	50	30	1.2	0.55	10	0	0	5	80	0	5	NA	NA	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	1
