transect	resp	date	coef	mode	d.chenal	d.mer	alt	surf	p.roc	p.moul	p.huit	p.bala	p.alg	p.encr	p.eau	s.flaq	d.flaq	Bitret	Gibcin	Gibsp.	Gibtum	Litlit	Litobt	Litrud	Litsax	Monlin	Nasinc	Naspyg	Nasret	Oceeri	Patsp.	Rispar	Thalap
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.24	100	15	5	90	50	NA	75	0.15	0.4	0	0	9	0	2	0	0	0	3	0	0	0	0	5	0	8
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.27	100	20	5	80	0	0	2	NA	NA	0	0	12	0	2	0	0	0	3	0	0	0	0	10	0	0
a30	morgane.milin	21septembre2017	99	a	30	70	3.5	0.29	100	15	5	94	0	0	2	NA	NA	0	0	2	0	0	0	0	0	9	0	0	0	0	18	0	1
a30	morgane.milin	21septembre2017	99	a	30	65	3.2	0.27	100	40	10	100	10	10	15	NA	NA	0	0	32	0	0	0	0	0	16	0	0	0	0	22	0	8
a30	morgane.milin	21septembre2017	99	a	30	65	3.2	0.22	100	25	2	99	0	0	0	NA	NA	0	0	2	0	1	0	0	0	4	0	0	0	0	0	0	1
a30	morgane.milin	21septembre2017	99	a	30	65	3.2	0.21	100	10	5	90	40	30	40	NA	NA	0	0	21	0	2	0	0	0	1	0	0	0	0	12	0	1
a30	morgane.milin	21septembre2017	99	a	30	60	3.0	0.22	100	15	15	98	0	0	5	NA	NA	0	0	2	0	0	0	0	0	16	0	0	0	0	8	0	1
a30	morgane.milin	21septembre2017	99	a	30	60	3.0	0.31	100	15	15	22	20	18	10	NA	NA	0	0	21	0	5	0	0	0	12	0	0	0	0	0	0	2
a30	morgane.milin	21septembre2017	99	a	30	60	3.0	0.24	100	0	30	15	95	NA	90	0.18	0.0	0	0	8	0	5	0	0	0	0	0	0	0	0	2	0	3
a30	morgane.milin	21septembre2017	99	a	30	55	2.6	0.22	100	5	70	60	20	NA	50	0.10	0.3	0	0	18	0	4	0	0	0	0	0	0	0	0	6	0	2
a30	morgane.milin	21septembre2017	99	a	30	55	2.6	0.21	100	5	25	75	20	10	0	NA	NA	0	0	23	0	1	0	0	0	0	0	0	0	0	20	0	1
a30	morgane.milin	21septembre2017	99	a	30	55	2.6	0.22	100	10	80	98	0	0	5	NA	NA	0	0	10	0	0	0	0	0	8	0	0	0	0	25	0	0
a30	morgane.milin	21septembre2017	99	a	30	50	1.8	0.22	100	0	40	65	3	NA	5	NA	NA	0	0	35	0	4	0	0	0	0	0	0	0	0	8	0	5
a30	morgane.milin	21septembre2017	99	a	30	50	1.8	0.20	80	0	30	25	45	NA	60	0.12	0.3	0	0	24	0	7	0	0	0	0	0	0	0	0	8	0	2
a30	morgane.milin	21septembre2017	99	a	30	50	1.8	0.24	100	0	20	70	5	5	0	NA	NA	0	0	14	0	4	0	0	0	0	0	0	0	0	6	0	4
